2024-10-23 00:46:55,117 - /Users/noesis/Code/group-robust-preference-optimization/experiments/run_glb_noisy.py[line:215] - INFO: Logging to log_cgd/2024_10_23_00_46_52/same_noise1.0_[1,1.0,1]_2021_0.0
2024-10-23 00:46:55,119 - /Users/noesis/Code/group-robust-preference-optimization/experiments/run_glb_noisy.py[line:216] - INFO: (IB) Seed: 2021
2024-10-23 00:46:55,120 - /Users/noesis/Code/group-robust-preference-optimization/experiments/run_glb_noisy.py[line:217] - INFO: (IB) Data: 300
2024-10-23 00:46:55,251 - /Users/noesis/Code/group-robust-preference-optimization/experiments/run_glb_noisy.py[line:316] - INFO: MLE reward loss: 0.0002, l2 distance: 2194.4385, acc: 1.00.
2024-10-23 00:46:55,252 - /Users/noesis/Code/group-robust-preference-optimization/experiments/run_glb_noisy.py[line:317] - INFO: True reward parameter: [[2. 2. 2. 2.]
 [2. 2. 2. 2.]
 [2. 2. 2. 2.]]
2024-10-23 00:46:55,253 - /Users/noesis/Code/group-robust-preference-optimization/experiments/run_glb_noisy.py[line:318] - INFO: MLE reward parameter: [620.22118185 720.0685001  648.99839531 539.36401535]
2024-10-23 00:46:55,457 - /Users/noesis/Code/group-robust-preference-optimization/experiments/run_glb_noisy.py[line:334] - INFO: Learned oracle reward: 2.7737, 2.7737, 2.7737
2024-10-23 00:46:56,944 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 0, train_loss: 0.6462, val_loss: 0.6504, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0293, 0.0293, 0.0293, KL_dist: 0.1085, 0.1085, 0.1085, param: [0.6527600288391113, 2.5672714710235596, 3.7133431434631348, 3.5798168182373047], weights: [0.3335435092449188, 0.33309298753738403, 0.33336350321769714], train_wt_loss:  0.6462, val_wt_loss: 0.6504, train_grp_loss: [0.6438608169555664, 0.6534236073493958, 0.6339980959892273], val_grp_loss: [0.6546475291252136, 0.6492623686790466, 0.6470220685005188], max_reward_err: 0.0293, max_reward_err_index: 0, max_kl_dist: 0.1085, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:46:57,806 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 1, train_loss: 0.6462, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0293, 0.0293, 0.0293, KL_dist: 0.1085, 0.1085, 0.1085, param: [0.6533249020576477, 2.567607879638672, 3.7139008045196533, 3.580188751220703], weights: [0.3337537348270416, 0.3328527510166168, 0.33339357376098633], train_wt_loss:  0.6462, val_wt_loss: 0.6503, train_grp_loss: [0.643851101398468, 0.6534160375595093, 0.6339890956878662], val_grp_loss: [0.6546398401260376, 0.6492542028427124, 0.6470130681991577], max_reward_err: 0.0293, max_reward_err_index: 0, max_kl_dist: 0.1085, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:46:58,628 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 2, train_loss: 0.6462, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0293, 0.0293, 0.0293, KL_dist: 0.1086, 0.1086, 0.1086, param: [0.6538897752761841, 2.567944288253784, 3.714458465576172, 3.5805606842041016], weights: [0.33396393060684204, 0.3326125741004944, 0.3334234952926636], train_wt_loss:  0.6461, val_wt_loss: 0.6503, train_grp_loss: [0.6438413858413696, 0.6534082889556885, 0.6339800357818604], val_grp_loss: [0.6546322107315063, 0.649246096611023, 0.6470043063163757], max_reward_err: 0.0293, max_reward_err_index: 0, max_kl_dist: 0.1086, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:46:59,455 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 3, train_loss: 0.6462, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0293, 0.0293, 0.0293, KL_dist: 0.1086, 0.1086, 0.1086, param: [0.6544546484947205, 2.5682806968688965, 3.7150161266326904, 3.5809326171875], weights: [0.33417415618896484, 0.3323725163936615, 0.33345332741737366], train_wt_loss:  0.6461, val_wt_loss: 0.6503, train_grp_loss: [0.6438315510749817, 0.6534007787704468, 0.6339710354804993], val_grp_loss: [0.6546245813369751, 0.6492379903793335, 0.6469953060150146], max_reward_err: 0.0293, max_reward_err_index: 0, max_kl_dist: 0.1086, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:47:00,303 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 4, train_loss: 0.6462, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0293, 0.0293, 0.0293, KL_dist: 0.1086, 0.1086, 0.1086, param: [0.6550195813179016, 2.568617105484009, 3.715574026107788, 3.5813045501708984], weights: [0.33438438177108765, 0.3321325480937958, 0.3334830403327942], train_wt_loss:  0.6461, val_wt_loss: 0.6503, train_grp_loss: [0.6438217163085938, 0.6533930897712708, 0.6339620351791382], val_grp_loss: [0.6546168923377991, 0.6492298245429993, 0.6469865441322327], max_reward_err: 0.0293, max_reward_err_index: 0, max_kl_dist: 0.1086, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:47:01,138 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 5, train_loss: 0.6462, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0293, 0.0293, 0.0293, KL_dist: 0.1086, 0.1086, 0.1086, param: [0.6555845141410828, 2.568953514099121, 3.7161319255828857, 3.581676483154297], weights: [0.3345946669578552, 0.3318926990032196, 0.33351266384124756], train_wt_loss:  0.6461, val_wt_loss: 0.6503, train_grp_loss: [0.6438119411468506, 0.6533854603767395, 0.6339529156684875], val_grp_loss: [0.6546093225479126, 0.6492215991020203, 0.6469775438308716], max_reward_err: 0.0293, max_reward_err_index: 0, max_kl_dist: 0.1086, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:47:01,970 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 6, train_loss: 0.6461, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0293, 0.0293, 0.0293, KL_dist: 0.1086, 0.1086, 0.1086, param: [0.6561494469642639, 2.5692899227142334, 3.7166898250579834, 3.5820484161376953], weights: [0.3348049223423004, 0.3316529095172882, 0.333542138338089], train_wt_loss:  0.6460, val_wt_loss: 0.6503, train_grp_loss: [0.6438021063804626, 0.653377890586853, 0.6339439153671265], val_grp_loss: [0.6546015739440918, 0.6492134928703308, 0.6469687223434448], max_reward_err: 0.0293, max_reward_err_index: 0, max_kl_dist: 0.1086, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:47:02,805 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 7, train_loss: 0.6461, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0288, 0.0288, 0.0288, KL_dist: 0.1086, 0.1086, 0.1086, param: [0.6567144393920898, 2.5696263313293457, 3.717247724533081, 3.582420587539673], weights: [0.335015207529068, 0.331413209438324, 0.33357155323028564], train_wt_loss:  0.6460, val_wt_loss: 0.6503, train_grp_loss: [0.6437923312187195, 0.653370201587677, 0.6339349150657654], val_grp_loss: [0.6545940637588501, 0.6492053866386414, 0.6469597816467285], max_reward_err: 0.0288, max_reward_err_index: 0, max_kl_dist: 0.1086, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:47:03,648 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 8, train_loss: 0.6461, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0288, 0.0288, 0.0288, KL_dist: 0.1086, 0.1086, 0.1086, param: [0.6572794318199158, 2.569962739944458, 3.7178056240081787, 3.5827927589416504], weights: [0.33522552251815796, 0.3311736583709717, 0.33360087871551514], train_wt_loss:  0.6460, val_wt_loss: 0.6502, train_grp_loss: [0.6437826156616211, 0.6533625721931458, 0.6339259147644043], val_grp_loss: [0.6545863151550293, 0.6491972208023071, 0.6469508409500122], max_reward_err: 0.0288, max_reward_err_index: 0, max_kl_dist: 0.1086, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:47:04,478 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 9, train_loss: 0.6461, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0288, 0.0288, 0.0288, KL_dist: 0.1087, 0.1087, 0.1087, param: [0.6578444242477417, 2.5702991485595703, 3.7183635234832764, 3.583164930343628], weights: [0.33543580770492554, 0.33093416690826416, 0.3336300253868103], train_wt_loss:  0.6459, val_wt_loss: 0.6502, train_grp_loss: [0.6437727808952332, 0.6533549427986145, 0.6339169144630432], val_grp_loss: [0.6545787453651428, 0.6491891741752625, 0.6469420194625854], max_reward_err: 0.0288, max_reward_err_index: 0, max_kl_dist: 0.1087, max_kl_dist_index: 0, max_train_grp_loss: 0.6534, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
2024-10-23 00:47:05,357 - /Users/noesis/Code/group-robust-preference-optimization/algos/linear_bandit/common_gradient_descent.py[line:384] - INFO: Iteration: 10, train_loss: 0.6461, val_loss: 0.6503, grad_norm:  0.0094, live_grad: 0.0000, reward_err: 0.0288, 0.0288, 0.0288, KL_dist: 0.1087, 0.1087, 0.1087, param: [0.6584094762802124, 2.5706355571746826, 3.718921422958374, 3.5835371017456055], weights: [0.3356461226940155, 0.3306947648525238, 0.3336591124534607], train_wt_loss:  0.6459, val_wt_loss: 0.6502, train_grp_loss: [0.6437629461288452, 0.6533473134040833, 0.6339078545570374], val_grp_loss: [0.6545710563659668, 0.6491810083389282, 0.6469330787658691], max_reward_err: 0.0288, max_reward_err_index: 0, max_kl_dist: 0.1087, max_kl_dist_index: 0, max_train_grp_loss: 0.6533, max_train_grp_loss_index: 1, max_val_grp_loss: 0.6546, max_val_grp_loss_index: 0
