2024-10-07 17:08:16,554 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.1,0.1,0.01,2023
2024-10-07 17:08:16,556 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 17:08:16,557 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:08:16,646 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 17:08:16,647 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:08:16,648 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 17:08:16,867 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 17:08:17,097 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:08:18,350 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6261, val_loss:  12.2164, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6776, param: [ 4.90032933  6.97936371  5.67464935 10.2328601 ], weights: [0.33307434 0.33311119 0.33381446], train_wt_loss:  37.8784, val_wt_loss: 36.6493, train_grp_loss: [11.44733448 13.75119335 13.00574747], val_grp_loss: [12.59542693 12.82706442 11.22499376], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6776, max_kl_dist_index: 2, max_train_grp_loss:  13.7512, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8271, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:19,423 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.6261, val_loss:  12.2165, grad_norm: 0.0000, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6776, param: [ 4.90027985  6.97892337  5.67494367 10.23277076], weights: [0.33285818 0.33298656 0.33415526], train_wt_loss:  37.8784, val_wt_loss: 36.6494, train_grp_loss: [11.4476184  13.75086888 13.00578093], val_grp_loss: [12.59571091 12.82674775 11.22513342], train_hist_grp_loss: [0.22230832 0.26087078 0.61122885], cur_train_grp_loss: [0.08805642 0.11555625 0.25501466], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6776, max_kl_dist_index: 2, max_train_grp_loss:  13.7509, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8267, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:20,537 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.6261, val_loss:  12.2165, grad_norm: 0.0000, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6775, param: [ 4.90023002  6.97848336  5.67523787 10.23268255], weights: [0.33264199 0.33286179 0.33449622], train_wt_loss:  37.8784, val_wt_loss: 36.6495, train_grp_loss: [11.44790165 13.75054529 13.0058142 ], val_grp_loss: [12.59599428 12.82643212 11.22527279], train_hist_grp_loss: [0.31036692 0.3764243  0.86624417], cur_train_grp_loss: [0.0880586  0.11555352 0.25501531], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7505, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8264, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:21,631 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.6261, val_loss:  12.2165, grad_norm: 0.0000, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6775, param: [ 4.90017981  6.97804366  5.67553193 10.23259544], weights: [0.33242576 0.33273689 0.33483735], train_wt_loss:  37.8784, val_wt_loss: 36.6496, train_grp_loss: [11.44818425 13.75022257 13.00584728], val_grp_loss: [12.59627704 12.82611754 11.22541189], train_hist_grp_loss: [0.3984277  0.4919751  1.12126013], cur_train_grp_loss: [0.08806078 0.1155508  0.25501596], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7502, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8261, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:22,753 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.6261, val_loss:  12.2166, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6775, param: [ 4.90012923  6.97760428  5.67582587 10.23250946], weights: [0.33220951 0.33261184 0.33517865], train_wt_loss:  37.8784, val_wt_loss: 36.6497, train_grp_loss: [11.44846618 13.74990072 13.00588016], val_grp_loss: [12.59655921 12.82580401 11.2255507 ], train_hist_grp_loss: [0.48649066 0.60752319 1.37627674], cur_train_grp_loss: [0.08806296 0.11554809 0.25501661], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7499, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8258, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:23,834 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.6261, val_loss:  12.2166, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6775, param: [ 4.90007829  6.97716522  5.67611969 10.23242459], weights: [0.33199323 0.33248665 0.33552013], train_wt_loss:  37.8784, val_wt_loss: 36.6498, train_grp_loss: [11.44874744 13.74957974 13.00591285], val_grp_loss: [12.59684077 12.82549152 11.22568922], train_hist_grp_loss: [0.57455578 0.72306857 1.631294  ], cur_train_grp_loss: [0.08806512 0.11554538 0.25501726], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7496, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8255, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:24,943 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.6261, val_loss:  12.2167, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6775, param: [ 4.90002697  6.97672648  5.67641337 10.23234085], weights: [0.33177691 0.33236132 0.33586177], train_wt_loss:  37.8784, val_wt_loss: 36.6500, train_grp_loss: [11.44902804 13.74925963 13.00594535], val_grp_loss: [12.59712172 12.82518008 11.22582746], train_hist_grp_loss: [0.66262307 0.83861126 1.8863119 ], cur_train_grp_loss: [0.08806729 0.11554269 0.2550179 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7493, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8252, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:25,952 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.6261, val_loss:  12.2167, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6774, param: [ 4.89997529  6.97628806  5.67670693 10.23225822], weights: [0.33156057 0.33223585 0.33620359], train_wt_loss:  37.8784, val_wt_loss: 36.6501, train_grp_loss: [11.44930798 13.7489404  13.00597765], val_grp_loss: [12.59740207 12.82486968 11.22596542], train_hist_grp_loss: [0.75069252 0.95415125 2.14133044], cur_train_grp_loss: [0.08806945 0.11554    0.25501854], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7489, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8249, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:26,984 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.6261, val_loss:  12.2167, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6774, param: [ 4.89992324  6.97584995  5.67700036 10.23217671], weights: [0.3313442  0.33211024 0.33654557], train_wt_loss:  37.8784, val_wt_loss: 36.6502, train_grp_loss: [11.44958725 13.74862204 13.00600976], val_grp_loss: [12.59768181 12.82456033 11.2261031 ], train_hist_grp_loss: [0.83876412 1.06968857 2.39634961], cur_train_grp_loss: [0.0880716  0.11553731 0.25501917], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7486, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8246, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:27,982 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.6261, val_loss:  12.2168, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3237, 0.6774, param: [ 4.89987082  6.97541217  5.67729366 10.23209633], weights: [0.33112779 0.33198449 0.33688772], train_wt_loss:  37.8784, val_wt_loss: 36.6503, train_grp_loss: [11.44986586 13.74830455 13.00604168], val_grp_loss: [12.59796095 12.82425203 11.22624049], train_hist_grp_loss: [0.92683787 1.18522321 2.65136941], cur_train_grp_loss: [0.08807375 0.11553464 0.2550198 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7483, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8243, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:08:28,980 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.6261, val_loss:  12.2168, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3237, 0.6774, param: [ 4.89981803  6.9749747   5.67758684 10.23201706], weights: [0.33091136 0.3318586  0.33723004], train_wt_loss:  37.8784, val_wt_loss: 36.6504, train_grp_loss: [11.4501438  13.74798793 13.0060734 ], val_grp_loss: [12.59823948 12.82394477 11.22637759], train_hist_grp_loss: [1.01491376 1.30075518 2.90638983], cur_train_grp_loss: [0.08807589 0.11553197 0.25502043], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7480, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8239, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
